"","Carats","Cert","Clarity","Color","Cut","Depth","Fluroescence","Known_Conflict_Diamond","Measurements","Polish","Regions","Shape","Symmetry","Table","Vendor","Offers"
"5652",1.93,"AGSL","SI1","G","Very good",NA,"None",NA,"7.9x7.93x4.95","Excellent","Botswana","Round","Excellent",58,"2",NA
"5660",0.5,"AGSL","SI2","F","Very good",62.8,"None",NA,"5.02x5.05x3.16","Very good","Russia","Round","Excellent",60,"1",NA
"5661",0.5,"AGSL","SI1","F","Very good",63.3,"None",NA,"5x5.03x3.17","Very good","Canada","Round","Excellent",NA,"2",NA
"5666",0.5,"AGSL","SI2","D","Good",63,"Faint",NA,"5x5.02x3.15","Very good","Canada","Round","Good",NA,"1",NA
"5667",0.5,"AGSL","SI2","E","Excellent",62,NA,NA,"5.13x5.15x3.19","Excellent","South Africa","Round","Excellent",54,"1",NA
"5677",3.01,"AGSL","SI2","I","Excellent",NA,NA,NA,"9.47x9.48x5.53","Excellent","Angola","Round","Excellent",61,"2",NA
"5681",3,"AGSL","VS2","I","Very good",60.3,"None",FALSE,"9.21x9.4x5.61","Very good","Botswana","Radiant","Good",61,"2",NA
"5685",0.71,"AGSL","I1","G","Good",63.4,"None",NA,"5.62x5.65x3.57","Excellent","South Africa","Round","Good",63,"1",NA
"5689",0.71,"AGSL","SI2","H","Very good",NA,"None",NA,"5.75x5.66x3.53","Good","Russia","Round","Good",57,"1",NA
"5691",0.71,"AGSL","VS2","I","Excellent",NA,"Faint",FALSE,"5.74x5.7x3.5","Excellent","Other/Unknown","Round","Excellent",61,"1",NA
"5692",1.05,"AGSL","VS2","H","Good",58.1,"Medium",NA,"6.62x6.69x3.87","Good","Canada","Round","Good",NA,"2",NA
"5696",1.01,"AGSL","SI1","G","Excellent",60.7,"Faint",NA,"6.46x6.51x3.93","Excellent","Canada","Radiant","Very good",61,"1",NA
"5699",1.01,"NA","SI1","L","Very good",60.1,NA,NA,"6.46x6.44x3.88","Very good","Botswana","Round","Excellent",60,"1",NA
"5700",1.01,"AGSL","SI2","H","Excellent",60.5,"Faint",NA,"6.49x6.52x3.93","Excellent","Russia","Princess","Excellent",60,"2",NA
"5721",1.01,"NA","SI2","G","Excellent",NA,NA,NA,"6.39+6.42x4.01","Excellent","Botswana","Round","Very good",57,"1",NA
"5722",1.01,"AGSL","SI2","H","Excellent",NA,"Medium",NA,"6.37x6.43x4.02","Excellent","Russia","Princess","Very good",57,"1",NA
"5730",1.01,"AGSL","SI2","I","Very good",63.2,NA,NA,"6.37x6.33x4.01","Very good","Other/Unknown","Radiant","Excellent",56,"2",NA
"5742",1.07,"AGSL","VS1","T","Very good",60,"None",FALSE,"6.6x6.67x3.98","Good","Botswana","Round","Very good",59,"1",NA
"5744",1.07,"AGSL","SI2","I","Excellent",60.7,"Faint",NA,"6.6X6.63x4.01","Excellent","Australia","Emerald","Excellent",59,"1",NA
"5745",1.07,"AGSL","SI2","H","Excellent",60.4,"Faint",NA,"6.59x6.63x3.99","Excellent","Botswana","Radiant","Excellent",61,"3",NA
"5749",0.54,"AGSL","SI1","H","Very good",62.6,"Faint",FALSE,"5.13x5.16x3.22","Very good","Russia","Round","Very good",59,"1",NA
"5752",2.73,"AGSL","SI2","J","Very good",NA,"None",FALSE,"8.88x8.83x5.61","Very good","Russia","Oval","Excellent",NA,"4",NA
"5756",2.64,"AGSL","VS1","I","Excellent",63,"Medium",NA,"8.77x8.85x5.55","Excellent","Russia","Radiant","Excellent",55,"2",NA
"5764",0.54,"AGSL","VS1","F"," ",63.7,"None",NA,"5.16x5.11x3.27","Good","Canada","Radiant","Good",55,"1",NA
"5766",0.54,"AGSL","VS1","K","Very good",62.7,"None",NA,"5.19x5.18x3.25","Excellent","DR Congo","Princess","Excellent",57,"1",NA
"5767",0.54,"GemEx","VS2","I","Very good",59.9,"Faint",NA,"5.34x5.28x3.18","Excellent","South Africa","Round","Excellent",58,"1",NA
"5769",1.9,"AGSL","SI1","I","Very good",63,NA,NA,"7.81x7.82x4.92","Very good","Botswana","Emerald","Very good",59,"2",NA
"5770",2.24,"AGSL","VS1","H","Excellent",61.8,NA,NA,"8.37x8.4x5.18","Excellent","Botswana","Round","Excellent",57,"2",NA
"5773",1.51,"AGSL","SI1","H","Excellent",62.8,NA,NA,"7.29x7.33x4.59","Excellent","Russia","Round","Excellent",57,"3",NA
"5774",1.51,"NA","SI2","J","Very good",63.8,"None",NA,"7.15x7.22x4.59","Very good","Other/Unknown","Round","Very good",57,"4",NA
"5775",1.51,"AGSL","SI2","I","Very good",NA,"None",NA,"7.13x7.18x4.59","Excellent","Russia","Round","Excellent",57,"2",NA
"5779",1.21,"AGSL","SI2","H","Excellent",63.1,"None",NA,"6.75x6.79x4.27","Excellent","Russia","Round","Very good",NA,"3",NA
"5781",1.21,"NA","SI2","H","Very good",59.4,NA,NA,"6.96x6.99x4.15","Excellent","Canada","ROUND","Excellent",58,"4",NA
"5783",1.06,"GemEx","SI2","I","Very good",62.9,"None",FALSE,"6.48x6.44x4.06","Excellent","DR Congo","Round","Excellent",55,"2",NA
"5786",2.59,"AGSL","SI2","E","Excellent",NA,"None",NA,"8.82x8.54x5.44","Excellent","Botswana","Oval ","Excellent",NA,"4",NA
"5788",5.01,"AGSL","SI2","K","Very good",62,"None",NA,"10.85x10.93x6.75","Excellent","South Africa","Marquise","Very good",58,"2",NA
"5790",2.54,"NA","SI2","I","Excellent",61.9,"None",NA,"8.73x8.75x5.41","Excellent","DR Congo","Emerald","Excellent",NA,"2",NA
"5797",0.63,"AGSL","VVS1","F","Excellent",59,"None",NA,"5.58x5.67x3.32","Very good","Russia","Round","Very good",NA,"1",NA
"5800",0.63,"AGSL","VS1","D","Very good",58.5,"Faint",NA,"5.61x5.68x3.31","Very good","Botswana","Round","Good",63,"2",NA
"5801",0.63,"AGSL","VS2","K","Good",60.3,"None",NA,"5.49x5.56x3.33","Good","South Africa","Round","Good",NA,"1",NA
"5812",2.53,"AGSL","SI2","J","Very good",NA,NA,NA,"8.5x8.58x5.49","Excellent","Australia","Princess","Very good",59,"2",NA
"5814",0.8,"AGSL","SI2","F","Very good",NA,"None",NA,"5.9x5.88x3.69","Very good","Australia","Round","Very good",59,"2",NA
"5815",0.8,"AGSL","SI2","E","Very good",63.1,"None",NA,"5.83x5.87x3.69","Very good","Russia","Emerald","Very good",59,"1",NA
"5818",1.06,"AGSL","VS2","G"," ",62,"Medium",NA,"6.56x6.53x4.06","Very good","Other/Unknown","Round","Excellent",56,"2",NA
"5823",1.2,"AGSL","SI1","G","Excellent",62.1,"Medium",NA,"6.79x6.83x4.23","Very good","South Africa","Pear","Excellent",56,"4",NA
"5824",1.2,"AGSL","SI2","J","Excellent",NA,"Strong",NA,"6.79x6.82x4.24","Excellent","Botswana","Asscher","Excellent",NA,"2",NA
"5826",1.2,"GemEx","SI2","J","Very good",62.6,"None",NA,"6.75x6.73x4.22","Excellent","Russia","Pear","Excellent",56,"2",NA
"5832",1.51,"AGSL","SI2","E","Excellent",60.4,"Strong",NA,"7.43*7.39x4.48","Very good","Russia","Round","Excellent",60,"2",NA
"5835",1,"AGSL","SI2","F","Excellent",60.6,NA,NA,"6.44x6.49x3.92","Excellent","Angola","Princess","Very good",57,"2",NA
"5840",1,"AGSL","SI2","H","Excellent",NA,"None",NA,"6.42x6.39x3.98","Very good","Russia","Round","Excellent",NA,"3",NA
"5846",1,"AGSL","SI2","I","Excellent",62.8,"None",NA,"6.37x6.4x4.01","Excellent","South Africa","Round","Excellent",55,"1",NA
"5847",1,"GemEx","VS1","G","Excellent",NA,"Faint",NA,"6.32x6.38x4","Very good","South Africa","Round","Very good",55,"2",NA
"5849",1,"GemEx","SI1","E","Very good",NA,"None",NA,"6.27x6.33x4","Very good","Australia","Round","Very good",NA,"2",NA
"5852",1,"AGSL","SI2","E","Good",64.8,"Medium",NA,"6.23x6.28x4.06","Excellent","Australia","Oval ","Good",NA,"1",NA
"5853",1,"AGSL","SI1","E","Very good",61.9,"None",NA,"6.37x6.44*3.96","Very good","Australia","Emerald","Good",53,"4",NA
"5856",1,"AGSL","VVS2","K","Very good",58,"Faint",NA,"6.53x6.56x3.8","Very good","Russia","Round","Good",62,"1",NA
"5857",1,"AGSL","SI2","F","Very good",58.8,"None",NA,"6.51x6.56x3.85","Very good","DR Congo","Emerald","Excellent",NA,"2",NA
"5868",1,"AGSL","SI2","H","Very good",NA,"None",NA,"6.41x6.45x3.9","Excellent","Australia","Emerald","Very good",NA,"3",NA
"5870",1,"AGSL","SI1","E","Very good",62.4,"None",TRUE,"6.32*6.38x3.97","Excellent","Angola","Radiant","Very good",58,"3",NA
"5875",0.41,"AGSL","SI1","H","Excellent",62.8,NA,NA,"4.75x4.77x2.99","Excellent","Canada","Princess","Excellent",56,"1",NA
"5877",0.41,"AGSL","SI2","D","Excellent",NA,"None",TRUE,"4.78x4.8x2.95","Very good","DR Congo","Radiant","Excellent",NA,"1",NA
"5881",0.41,"AGSL","SI1","H","Excellent",NA,"None",FALSE,"4.81x4.84x2.92","Excellent","Russia","Marquise","Excellent",58,"1",NA
"5883",0.41,"GemEx","VVS2","M","Excellent",NA,"None",NA,"4.87x4.91x2.94","Excellent","Canada","Round","Excellent",59,"1",NA
"5884",1.86,"AGSL","VS2","G"," ",62.6,"None",NA,"7.78x7.83-4.89","Very good","Australia","Princess","Excellent",NA,"2",NA
"5887",2.58,"AGSL","VVS2","F","Good",57.4,"None",NA,"9.14*9.21x5.26","Very good","South Africa","Radiant","Good",58,"4",NA
"5892",2.79,"AGSL","SI1","G","Excellent",62.5,"None",NA,"8.93x8.97x5.59","Excellent","Australia","Marquise","Excellent",57,"2",NA
"5894",1.25,"AGSL","SI2","J","Excellent",63.1,"None",NA,"6.89x6.85x4.33","Excellent","Botswana","Cushion","Excellent",NA,"2",NA
"5895",0.43,"AGSL","VS1","H","Excellent",61.6,"None",NA,"4.87x4.84x2.99","Excellent","Australia","Round","Excellent",57,"1",NA
"5896",0.43,"AGSL","VS2","J","Excellent",61.9,NA,NA,"4.87x4.82x3","Excellent","Canada","Round","Excellent",58,"1",NA
"5898",2.01,"NA","SI2","H","Excellent",NA,NA,NA,"8.12x8.17x4.98","Excellent","Russia","Princess","Excellent",NA,"2",NA
"5899",2.01,"AGSL","SI1","H","Excellent",62.3,"None",FALSE,"8.03-8.08x5.02","Excellent","Russia","Princess","Excellent",59,"2",NA
"5906",1.36,"AGSL","VS2","L","Excellent",58,"None",FALSE,"7.05*7.21x4.14","Good","DR Congo","Round","Fair",43,"3",NA
"5910",1.66,"AGSL","VS1","G","Excellent",62.2,"None",FALSE,"7.54x7.58x4.7","Excellent","Russia","Round","Excellent",57,"2",NA
"5912",1.02,"AGSL","SI2","H","Very good",NA,"Faint",NA,"6.6x6.61x3.9","Excellent","Botswana","Round","Very good",NA,"3",NA
"5915",1.3,"AGSL","VS1","F","Very good",60,"None",NA,"7.05x7.08x4.24","Very good","Russia","Round","Good",62,"3",NA
"5924",1.89,"AGSL","IF","D","Excellent",62.4,NA,NA,"7.88X7.95x4.94","Excellent","DR Congo","Round","Excellent",NA,"2",NA
"5927",1.89,"AGSL","SI1","I","Excellent",59.8,"None",NA,"8.03x8.06x4.81","Excellent","South Africa","Princess","Excellent",60,"2",NA
"5931",3.06,"AGSL","SI2","H","Very good",62.2,"None",NA,"9.24x9.3x5.77","Excellent","Australia","Round","Very good",NA,"2",NA
"5932",5.06,"AGSL","SI2","K","Very good",63.9,"None",NA,"10.74x10.84X6.9","Excellent","Canada","Round","Very good",NA,"2",NA
"5934",0.63,"AGSL","SI2","F","Excellent",61.3,"Medium",FALSE,"5.52x5.47*3.37","Excellent","Russia","Round","Excellent",59,"2",NA
"5935",0.63,"AGSL","VS1","E","Good",59.8,"None",NA,"5.52x5.59x3.32","Good","Russia","Round","Good",NA,"1",NA
"5940",0.43,"AGSL","SI1","D","Very good",59.3,"None",NA,"4.98*4.95x2.95","Very good","Australia","Pear","Very good",60,"1",NA
"5942",0.43,"AGSL","SI1","H","Very good",NA,"Faint",FALSE,"5.01x4.97x2.95","Very good","Other/Unknown","Oval","Excellent",62,"1",NA
"5944",0.43,"AGSL","VS2","E","Very good",58.2,"Faint",NA,"4.92*4.96x2.87","Very good","Russia","Round","Good",NA,"1",NA
"5947",1.77,"AGSL","VS1","F","Excellent",62.5,"None",NA,"7.68x7.73x4.82","Excellent","Russia","Round","Excellent",58,"2",NA
"5954",3.51,"AGSL","SI1","I","Excellent",NA,NA,FALSE,"9.92x9.94x5.89","Excellent","DR Congo","Oval","Excellent",60,"2",NA
"5957",0.61,"NA","SI1","D","Excellent",62.6,"Faint",NA,"5.42x5.45x3.4","Excellent","Botswana","Round","Excellent",56,"1",NA
"5959",1.76,"AGSL","VVS1","J","Excellent",NA,NA,NA,"7.76x7.79x4.77","Excellent","Canada","Emerald","Excellent",NA,"4",NA
"5964",1.05,"GemEx","SI2","H","Excellent",62,"None",NA,"6.5x6.47x4.02","Excellent","DR Congo","Round","Excellent",NA,"1",NA
"5966",0.8,"AGSL","SI1","D","Very good",63.5,"Medium",NA,"5.83x5.81x3.68","Excellent","Botswana","Round","Excellent",56,"1",NA
"5967",0.8,"NA","SI1","E","Very good",NA,"Medium",NA,"5.96x5.93x3.66","Very good","Angola","Round","Very good",NA,"1",NA
"5972",0.8,"GemEx","VS1","F","Excellent",NA,"Faint",NA,"6x5.96x3.65","Very good","Russia","ROUND","Excellent",NA,"1",NA
"5973",2.04,"AGSL","SI1","J","Excellent",62.3,"Faint",NA,"8.12x8.09x5.05","Excellent","Botswana","Radiant","Excellent",56,"2",NA
"5975",0.62,"NA","SI1","E","Excellent",61.9,"Faint",NA,"5.48x5.49x3.4","Excellent","Russia","Round","Excellent",NA,"1",NA
"5977",0.62,"AGSL","SI1","F","Very good",61.4,"Faint",NA,"5.42x5.45x3.34","Very good","DR Congo","Round","Excellent",57,"1",NA
"5981",1.85,"AGSL","SI1","F","Excellent",62.3,NA,NA,"7.8x7.83x4.87","Excellent","Russia","Emerald","Excellent",56,"2",NA
"5982",1.85,"AGSL","VS2","D","Excellent",62.4,"None",NA,"7.8x7.85x4.88","Excellent","Canada","Round","Excellent",56,"2",NA
"5983",1.85,"AGSL","VS1","E","Excellent",62.4,"None",NA,"7.81x7.85x4.88","Excellent","Russia","Emerald","Excellent",59,"2",NA
"5985",1.85,"AGSL","I1","H","Good",59.5,NA,NA,"7.89x7.99x4.72","Good","Botswana","Round","Good",66,"2",NA
"5994",2.31,"AGSL","SI2","J","Excellent",62.3,"None",NA,"8.41x8.45x5.25","Excellent","Australia","Emerald","Excellent",57,"2",NA
"6014",0.8,"GemEx","SI1","F","Excellent",62.9,"Strong",NA,"5.92x5.9x3.72","Excellent","DR Congo","Round","Excellent",55,"1",NA
"6019",0.52,"AGSL","SI2","F","Excellent",63.1,"Medium",FALSE,"5.1x5.13x3.23","Excellent","Angola","Marquise","Excellent",54,"1",NA
"6036",3.02,"AGSL","SI2","D","Excellent",62.9,"None",NA,"9.19x9.27x5.8","Excellent","Canada","Round","Very good",55,"2",NA
"6043",3.02,"AGSL","VS1","G","Excellent",61.1,"None",NA,"9.31x9.33x5.69","Excellent","Canada","Round","Excellent",NA,"2",NA
"6045",3.02,"AGSL","VS2","H","Excellent",62,"None",NA,"9.23x9.27x5.73","Excellent","Canada","Round","Excellent",NA,"2",NA
"6053",0.7,"AGSL","VS1","I","Very good",63.2,"None",NA,"5.55x5.62x3.53","Very good","Botswana","Round","Very good",56,"2",NA
"6056",0.79,"AGSL","VS2","F","Excellent",62.9,"Faint",NA,"5.9x5.84x3.69","Excellent","Zimbabwe","Round","Excellent",58,"1",NA
"6060",1.75,"AGSL","VS2","H","Excellent",61.5,"None",NA,"7.7x7.75x4.75","Excellent","South Africa","Asscher","Excellent",58,"2",NA
"6062",1.75,"AGSL","SI1","I","Excellent",NA,"None",FALSE,"7.67x7.71x4.79","Excellent","Russia","Asscher","Excellent",NA,"4",NA
"6064",1.75,"AGSL","VS2","H","Excellent",60.5,NA,NA,"7.78x7.82x4.72","Excellent","South Africa","Round","Excellent",NA,"2",NA
"6066",0.61,"AGSL","VS2","J","Excellent",NA,"None",NA,"5.56x5.54x3.29","Excellent","Botswana","Round","Very good",NA,"1",NA
"6069",0.61,"AGSL","VS2","I","Very good",63.6,NA,NA,"5.31*5.35x3.39","Excellent","South Africa","Pear","Excellent",56,"1",NA
"6072",0.79,"AGSL","VS2","D","Excellent",61.6,"Faint",FALSE,"5.92x5.98x3.67","Very good","Botswana","Marwuise","Very good",58,"3",NA
"6073",0.79,"AGSL","SI1","F","Very good",57.9,"None",NA,"6.07x6.16*3.54","Very good","Botswana","Round","Good",59,"1",NA
"6082",1.2,"AGSL","SI2","E","Excellent",62.2,"Faint",NA,"6.74x6.79x4.21","Excellent","Botswana","Round","Very good",60,"2",NA
"6083",1.2,"AGSL","SI2","I","Very good",62.9,"None",TRUE,"6.69x6.72x4.22","Excellent","DR Congo","Round","Very good",57,"2",NA
"6089",0.5,"AGSL","SI1","H","Good",61.5,"Faint",NA,"5.02x5.04x3.09","Good","DR Congo","Round","Good",NA,"1",NA
"6090",0.5,"GemEx","VS2","E","Good",62,"None",NA,"5.07x5.1x3.15","Very good","Other/Unknown","Round","Very good",NA,"2",NA
"6095",0.5,"AGSL","SI1","K","Very good",61.7,"None",NA,"5.07x5.08*3.13","Excellent","Russia","Emerald","Very good",60,"1",NA
"6101",0.5,"AGSL","SI2","G","Excellent",61.2,"None",NA,"5.11x5.09x3.12","Excellent","Botswana","Emerald","Excellent",58,"1",NA
"6104",0.5,"AGSL","SI2","D","Very good",62.4,"Medium",NA,"5.1x5.08x3.18","Excellent","Russia","Radiant","Excellent",52,"1",NA
"6107",0.5,"AGSL","VS2","H","Very good",62.5,"Strong",NA,"5.03x5.07x3.16","Very good","Botswana","Round","Very good",NA,"1",NA
"6115",3.29,"AGSL","SI1","G","Excellent",61.4,NA,NA,"9.55x9.59x5.87","Excellent","Russia","Princess","Excellent",58,"2",NA
"6116",1.81,"AGSL","SI1","G","Excellent",62.2,"None",NA,"7.75x7.85x4.84","Excellent","Botswana","ROUND","Excellent",59,"3",NA
"6117",1.81,"AGSL","VS1","E","Excellent",59.9,"None",NA,"7.9x7.94x4.75","Excellent","Russia","Emerald","Excellent",60,"2",NA
"6118",0.78,"AGSL","SI2","D","Very good",62.5,"None",NA,"5.82x5.88x3.66","Excellent","Botswana","Round","Very good",NA,"1",NA
"6123",1,"AGSL","VS2","G","Excellent",NA,NA,NA,"6.46x6.4x3.98","Very good","Canada","Radiant","Very good",NA,"2",NA
"6131",0.79,"AGSL","SI2","H","Very good",59.1,"None",NA,"6.03x6*3.56","Excellent","Australia","Round","Excellent",63,"1",NA
"6135",3.03,"AGSL","SI2","H","Excellent",61.8,"None",FALSE,"9.24x9.26x5.72","Excellent","Other/Unknown","Emerald","Excellent",60,"2",NA
"6136",3.03,"GemEx","I1","K","Good",65.8,"Faint",NA,"8.9x8.92x5.86","Very good","DR Congo","Round","Excellent",61,"4",NA
"6151",1.01,"AGSL","VS2","H","Very good",62.8,"None",NA,"6.38x6.33x3.99","Excellent","DR Congo","Marquise","Excellent",59,"2",NA
"6152",1.01,"AGSL","SI2","H","Good",64.1,NA,NA,"6.27x6.23x4.01","Excellent","Russia","Pear","Very good",59,"1",NA
"6155",1.01,"AGSL","SI2","G","Excellent",62.5,"Medium",NA,"6.43x6.38x4","Excellent","South Africa","Pear","Excellent",58,"2",NA
"6158",1.01,"AGSL","SI1","F","Very good",63.3,"None",FALSE,"6.35x6.31x4.01","Excellent","Angola","Princess","Good",58,"2",NA
"6163",1.01,"AGSL","SI2","G","Excellent",62.5,NA,NA,"6.4x6.42x4.01","Very good","Russia","Oval","Excellent",57,"2",NA
"6177",2.42,"GemEx","VS2","E","Excellent",62.9,NA,NA,"8.52x8.59x5.38","Excellent","Russia","Oval","Excellent",57,"2",NA
"6183",0.91,"AGSL","I1","E","Good",62.8,"None",NA,"6.03x6.13x3.82","Excellent","DR Congo","Pear","Very good",61,"2",NA
"6185",2.41,"AGSL","SI2","H","Excellent",61.5,"Medium",NA,"8.53x8.57x5.26","Excellent","Russia","Asscher","Excellent",60,"2",NA
"6186",0.9,"AGSL","VS2","E","Very good",62.7,"None",NA,"6.1x6.18x3.85","Very good","South Africa","Princess","Good",61,"1",NA
"6187",0.9,"AGSL","SI2","D","Good",64.6,"Faint",NA,"5.99x6.01x3.88","Very good","Botswana","Round","Excellent",NA,"2",NA
"6192",0.9,"AGSL","SI2","E","Very good",62.6,"None",NA,"6.13x6.14x3.84","Excellent","DR Congo","Round","Excellent",57,"2",NA
"6195",0.9,"AGSL","SI2","G","Very good",64,"None",NA,"6.05x6.1x3.88","Excellent","Other/Unknown","Oval ","Very good",54,"1",NA
"6199",2.09,"AGSL","SI2","J","Excellent",59.8,NA,NA,"8.32x8.36x4.98","Excellent","Botswana","Emerald","Excellent",59,"3",NA
"6208",1.2,"AGSL","SI1","H","Very good",NA,"Medium",FALSE,"6.75x6.68x4.23","Very good","Botswana","Round","Very good",59,"2",NA
"6218",2.01,"AGSL","SI1","I","Excellent",62,"None",NA,"8.02x8.07x4.99","Excellent","Botswana","Round","Excellent",NA,"2",NA
"6222",2.01,"AGSL","VVS2","I","Very good",58.8,"None",NA,"8.23x8.34x4.87","Very good","Russia","Round","Very good",63,"4",NA
"6224",2.01,"AGSL","VS1","H","Excellent",61.2,"None",NA,"8.09x8.12x4.96","Excellent","Botswana","Round","Excellent",57,"4",NA
"6225",2.01,"AGSL","SI1","H","Excellent",61.4,"None",NA,"8.08x8.13x4.97","Excellent","Other/Unknown","Round","Excellent",57,"2",NA
"6228",2.01,"AGSL","SI2","I","Excellent",62.1,"Faint",NA,"8.07x8.1x5.02","Excellent","Australia","Round","Excellent",57,"3",NA
"6232",2.01,"AGSL","SI2","F","Excellent",60,"Strong",NA,"8.2x8.24x4.93","Excellent","Russia","Round","Excellent",58,"2",NA
"6233",2.01,"AGSL","VS1","D","Excellent",60.5,"Faint",NA,"8.15x8.24x4.96","Excellent","DR Congo","Round","Very good",58,"2",NA
"6234",2.01,"AGSL","SI2","F","Excellent",61.4,"None",NA,"8.08x8.12x4.98","Excellent","Russia","Round","Excellent",NA,"2",NA
"6243",2.01,"AGSL","SI1","I","Very good",59.7,"None",NA,"8.26x8.3x4.94","Very good","South Africa","Round","Excellent",60,"2",NA
"6246",2.01,"AGSL","SI1","H","Excellent",60.3,NA,NA,"8.09x8.12x4.89","Excellent","Canada","Oval ","Excellent",60,"4",NA
"6253",2.01,"AGSL","SI2","F","Excellent",61.2,"None",NA,"8.01x8.12+4.94","Excellent","Russia","Round","Very good",NA,"2",NA
"6256",2.01,"AGSL","SI1","D","Very good",61.4,"None",NA,"8.09x8.15x4.99","Excellent","Russia","Princess","Excellent",NA,"2",NA
"6268",1.9,"AGSL","SI2","J","Excellent",60.2,"None",FALSE,"7.96x7.99x4.8","Excellent","Russia","Round","Excellent",60,"4",NA
"6270",1.9,"AGSL","VS2","I","Excellent",60.8,"None",NA,"7.96x7.97x4.84","Excellent","Other/Unknown","Round","Excellent",60,"4",NA
"6278",1.5,"AGSL","SI1","G","Very good",61.7,"Medium",NA,"7.3x7.35x4.52","Very good","Angola","Round","Very good",NA,"2",NA
"6281",1.5,"AGSL","SI1","H","Very good",60,"None",NA,"7.43x7.47x4.47","Excellent","Canada","Marquise","Very good",58,"3",NA
"6282",1.5,"AGSL","SI1","F","Very good",64.5,NA,NA,"7.14*7.2x4.62","Excellent","Australia","Round","Very good",55,"2",NA
"6288",2.51,"AGSL","SI2","H","Very good",60.6,"Medium",NA,"8.72x8.78x5.3","Very good","South Africa","Round","Very good",59,"2",NA
"6297",1.8,"AGSL","VS1","G","Excellent",62.8,"Faint",NA,"7.71x7.75x4.86","Excellent","Russia","Round","Excellent",57,"4",NA
"6303",1.8,"AGSL","SI1","D","Excellent",62.8,"None",FALSE,"7.74x7.79x4.87","Excellent","Australia","Round","Excellent",58,"4",NA
"6307",0.6,"AGSL","SI1","J","Excellent",63.1,NA,NA,"5.35x5.38x3.39","Excellent","Botswana","Radiant","Very good",55,"1",NA
"6310",0.6,"AGSL","SI2","H","Very good",63.6,"None",NA,"5.35x5.39x3.41","Excellent","Russia","Princess","Very good",56,"1",NA
"6312",1.41,"AGSL","VS2","J","Excellent",62.1,"None",NA,"7.18x7.15x4.46","Excellent","Australia","Round","Excellent",56,"3",NA
"6313",1.41,"AGSL","IF","D","Excellent",NA,"None",NA,"7.29x7.24x4.4","Excellent","DR Congo","Round","Excellent",NA,"2",NA
"6314",1.42,"GemEx","VS2","E","Very good",61.3,"Faint",NA,"7.16x7.29x4.43","Very good","Botswana","Emerald","Good",NA,"3",NA
"6317",1.04,"NA","SI1","G","Excellent",62.3,NA,NA,"6.42x6.48x4.02","Excellent","Canada","Round","Very good",58,"2",NA
"6318",1.5,"AGSL","SI2","G","Very good",NA,"Medium",FALSE,"7.21x7.19x4.58","Excellent","Russia","Round","Very good",NA,"4",NA
"6320",1.71,"AGSL","VS2","H","Excellent",59.7,"None",NA,"7.8x7.84x4.67","Excellent","Russia","Round","Excellent",60,"3",NA
"6321",1.71,"AGSL","SI1","K","Excellent",59.7,"Faint",NA,"7.76*7.79x4.64","Excellent","Australia","Marquise","Excellent",NA,"3",NA
"6329",1.63,"AGSL","VS2","F","Excellent",NA,"None",NA,"7.5x7.56x4.69","Excellent","Zimbabwe","Princess","Excellent",57,"3",NA
"6332",1.63,"AGSL","VS2","J","Excellent",62.9,"None",NA,"7.43x7.5x4.69","Excellent","Russia","Round","Excellent",58,"3",NA
"6333",1.63,"AGSL","VVS2","D","Excellent",60.5,"None",NA,"7.62x7.66x4.62","Excellent","Canada","Round","Excellent",NA,"2",NA
"6335",1.62,"AGSL","SI2","I","Excellent",NA,"None",TRUE,"7.47x7.48x4.71","Excellent","Angola","Emerald","Excellent",NA,"2",NA
"6338",1.19,"AGSL","SI1","J","Excellent",62.1,"Strong",NA,"6.77x6.81x4.22","Excellent","Russia","Round","Excellent",57,"2",NA
"6339",1.19,"GemEx","SI2","H","Excellent",60.6,"None",NA,"6.85x6.9x4.17","Excellent","Russia","Round","Excellent",58,"3",NA
"6351",1.7,"AGSL","SI1","F","Very good",62.8,"None",NA,"7.59x7.62x4.78","Excellent","Botswana","Round","Excellent",57,"3",NA
"6362",1.7,"AGSL","VS1","H","Excellent",62.7,NA,NA,"7.58x7.64x4.77","Excellent","Angola","Round","Excellent",58,"4",NA
"6367",2.34,"AGSL","SI1","F","Excellent",61.4,NA,NA,"8.53x8.57x5.25","Excellent","Angola","Round","Excellent",58,"2",NA
"6369",1.54,"NA","SI2","F","Excellent",59.7,NA,NA,"7.52*7.55x4.5","Excellent","DR Congo","Radiant","Excellent",NA,"3",NA
"6377",1.53,"AGSL","SI1","J","Excellent",60.7,"None",NA,"7.41x7.44*4.51","Excellent","Zimbabwe","Radiant","Excellent",59,"2",NA
"6385",1.57,"AGSL","SI1","H","Excellent",62.1,"None",NA,"7.42x7.45x4.62","Excellent","South Africa","Round","Excellent",58,"3",NA
"6391",2.33,"NA","SI2","G","Excellent",61.9,"Strong",NA,"8.48x8.51x5.26","Excellent","Australia","Round","Excellent",56,"2",NA
"6396",1.5,"AGSL","VVS2","F","Excellent",62.5,"None",NA,"7.32x7.36x4.59","Excellent","Russia","Round","Very good",NA,"2",NA
"6404",1.5,"GemEx","VS2","F","Excellent",62.7,"None",NA,"7.28x7.33x4.58","Excellent","Canada","Round","Excellent",56,"4",NA
"6417",0.9,"AGSL","SI1","H","Excellent",NA,NA,NA,"6.19x6.24x3.78","Excellent","Botswana","Oval","Very good",NA,"1",NA
