"","Carats","Cert","Clarity","Color","Cut","Depth","Fluroescence","Known_Conflict_Diamond","Measurements","Polish","Regions","Shape","Symmetry","Table","Vendor","Price","Retail"
"4598",2.5,"AGSL","VS1","L"," ",63.3,"Faint",FALSE,"8.54x8.52*5.4","Excellent","DR Congo","Round","Very good",61,"4","$ 18,775","$ 23,715"
"4600",1.74,"NA","VS1","I"," ",62.6,"None",FALSE,"7.67x7.7x4.81"," ","Angola","Round"," ",56,"3","$ 14,685","$ 19,410"
"4602",1.62,"AGSL","VS2","H","Good",61.9,NA,TRUE,"7.52x7.62X4.68","Good","Angola","Round","Good",61,"2","$ 16,150","$ 3,105"
"4603",1.25,"AGSL","IF","G"," ",NA,"None",FALSE,"6.94x6.96x4.27","Excellent","South Africa","Princess","Excellent",56,"3","$ 16,155","$ 27,190"
"4604",1.25,"AGSL","IF","G"," ",61.5,NA,FALSE,"6.91x6.94x4.26","Excellent","Russia","Round","Excellent",NA,"4","$ 17,495","$ 16,340"
"4605",1.71,"AGSL","VS1","I"," ",62,"None",FALSE,"7.62x7.67x4.74","Excellent","Botswana","Round","Excellent",59,"3","$ 16,160","$ 21,990"
"4607",2,"AGSL","VS1","K"," ",NA,"Strong Bl..",FALSE,"8.06x8.1x5.02"," ","DR Congo","Emerald"," ",58,"2","$ 16,170","$ 24,825"
"4608",1.21,"AGSL","VVS1","E"," ",62.1,"None",FALSE,"6.87x6.83X4.25","Excellent","DR Congo","Pear","Very good",56,"4","$ 18,425","$ 23,805"
"4609",2.04,"AGSL","SI1","J"," ",61.9,"None",FALSE,"8.12x8.15x5.04","Excellent","Angola","Marquise","Excellent",NA,"2","$ 16,180","$ 24,915"
"4611",1.6,"GemEx","VVS2","H"," ",NA,"None",FALSE,"7.53x7.57x4.59","Very good","Australia","Pear","Very good",60,"2","$ 16,210","$ 24,960"
"4612",1.51,"AGSL","SI1","H"," ",61.3,NA,FALSE,"7.31*7.37*4.5","Very good","Russia","Round","Excellent",NA,"2","$ 16,210","$ 15,765"
"4613",1.5,"AGSL","VS1","G"," ",62.2,"Faint",FALSE,"7.33x7.31x4.55","Excellent","Russia","Round","Excellent",56,"3","$ 16,215","$ 24,970"
"4615",1.62,"NA","VS2","H"," ",61.4,"None",FALSE,"7.52x7.56x4.63"," ","Russia","Princess"," ",58,"4","$ 15,185","$ 21,330"
"4616",1.73,"NA","SI1","I"," ",62.4,"None",FALSE,"7.63x7.68x4.78","Excellent","Russia","Round","Excellent",NA,"2","$ 13,950","$ 18,285"
"4617",2.02,"AGSL","SI1","J"," ",62.1,"None",FALSE,"8.04x8.11x5.02"," ","DR Congo","Marquise"," ",NA,"3","$ 16,245","$ 21,610"
"4618",1.62,"AGSL","VS2","H","Very good",NA,"Strong Bl..",FALSE,"7.58x7.65x4.58","Very good","Australia","Round","Good",62,"3","$ 16,250","$ 25,900"
"4619",2.07,"GemEx","VS2","J"," ",62,"Strong",FALSE,"8.19x8.14x5.06","Excellent","South Africa","Pear","Excellent",58,"2","$ 16,270","$ 24,395"
"4620",1.82,"AGSL","VS2","I"," ",61,"Medium Bl..",FALSE,"7.85x7.89x4.8"," ","Australia","Round"," ",59,"2","$ 16,275","$ 25,065"
"4624",2.01,"AGSL","VVS2","K"," ",62.1,"Faint",FALSE,"8.09x8.13x5.04"," ","South Africa","Round"," ",57,"2","$ 16,355","$ 19,345"
"4625",1,"AGSL","VVS1","D"," ",60.8,"Strong",FALSE,"6.43x6.47x3.92","Excellent","Angola","Radiant","Excellent",59,"2","$ 16,365","$ 27,720"
"4626",2.01,"NA","VS1","K"," ",62.1,NA,FALSE,"7.98x8.03x4.96","Very good","Canada","Emerald","Very good",59,"4","$ 12,825","$ 18,545"
"4629",1.04,"AGSL","IF","E"," ",61.8,"Faint",FALSE,"6.48x6.51x4.01","Excellent","Canada","Emerald","Excellent",56,"4","$ 17,880","$ 28,030"
"4631",1.5,"AGSL","VS2","F"," ",62.9,"Faint",FALSE,"7.3x7.22x4.57","Excellent","Russia","Round","Very good",56,"2","$ 16,555","$ 25,490"
"4632",1.5,"AGSL","VS2","F"," ",62.7,"None",FALSE,"7.28x7.22x4.55","Excellent","Australia","Radiant","Excellent",57,"4","$ 18,010","$ 25,490"
"4633",1.64,"NA","VVS1","I"," ",61.3,"None",FALSE,"7.61x7.64x4.67","Excellent","DR Congo","Round","Excellent",56,"2","$ 14,175","$ 18,695"
"4634",1.52,"AGSL","SI1","E"," ",61.4," ",FALSE,"7.37*7.39x4.53","Excellent","South Africa","Round","Excellent",NA,"2","$ 16,295","$ 24,285"
"4636",1.73,"AGSL","VVS2","J"," ",61.2,"Strong",FALSE,"7.73x7.69x4.72","Excellent","Russia","Princess","Excellent",NA,"4","$ 18,860","$ 25,605"
"4637",1.5,"AGSL","VVS2","G"," ",62.7,NA,FALSE,"7.31x7.23x4.56","Excellent","Australia","Emerald","Very good",56,"4","$ 19,160","$ 23,015"
"4638",1.74,"AGSL","SI1","H","Very good",62.8,"Faint",FALSE,"7.59x7.6x4.77","Excellent","Russia","Round","Very good",NA,"2","$ 16,675","$ 24,250"
"4639",2.05,"AGSL","SI1","J"," ",62.2,"None",FALSE,"8.12x8.06x5.03","Excellent","Botswana","Round","Excellent",58,"4","$ 17,800","$ 25,325"
"4640",1.51,"AGSL","VVS2","G"," ",59.4,"Faint",FALSE,"7.46x7.42x4.42","Excellent","Russia","Round","Excellent",61,"3","$ 16,750","$ 25,790"
"4642",1.6,"AGSL","SI1","G"," ",62.5,"None",FALSE,"7.42x7.46x4.65","Excellent","Russia","Round","Excellent",59,"2","$ 16,780","$ 25,840"
"4643",1.7,"AGSL","SI1","G"," ",62.6,"Faint",FALSE,"7.52x7.59x4.73","Very good","Russia","Round","Excellent",59,"2","$ 16,780","$ 25,840"
"4644",1.5,"GemEx","VS2","F"," ",59.5,"None",FALSE,"7.46+7.42x4.43","Excellent","Botswana","Round","Excellent",NA,"2","$ 16,785","$ 24,905"
"4645",1.5,"AGSL","VS2","F"," ",63.2,NA,FALSE,"7.25x7.2x4.56","Excellent","Australia","Round","Excellent",NA,"2","$ 16,785","$ 25,275"
"4646",1.71,"AGSL","SI1","H"," ",61.6,"None",FALSE,"7.65x7.7*4.73","Excellent","Russia","Round","Excellent",NA,"2","$ 16,810","$ 25,890"
"4649",1.5,"AGSL","SI1","D"," ",NA," ",FALSE,"7.39x7.43x4.44","Excellent","Botswana","Round","Very good",58,"2","$ 16,435","$ 23,215"
"4650",2.06,"AGSL","SI1","L"," ",62.2,"Medium",FALSE,"8.16x8.13x5.07","Excellent","Canada","Round","Excellent",57,"2","$ 16,855","$ 25,960"
"4651",2.4,"AGSL","SI2","K"," ",60.4,"Faint",FALSE,"8.69x8.72x5.25"," ","Botswana","Round"," ",57,"3","$ 16,870","$ 25,980"
"4653",1.28,"AGSL","VVS2","D"," ",62.7,"Faint",FALSE,"6.93x6.94x4.35"," ","South Africa","Pear"," ",NA,"3","$ 16,930","$ 22,130"
"4654",2.01,"AGSL","SI2","I"," ",60.6,"Faint",FALSE,"8.14x8.19x4.95","Excellent","Russia","Round","Excellent",NA,"2","$ 16,960","$ 26,120"
"4655",1.7,"NA","SI1","H","Very good",NA,"Strong Bl..",FALSE,"7.79x7.83x4.6","Excellent","Russia","Round","Very good",NA,"2","$ 13,500","$ 18,030"
"4656",2,"AGSL","VS2","J"," ",NA,NA,FALSE,"7.87x7.92x5.03","Very good","Russia","Round","Excellent",NA,"3","$ 17,015","$ 26,180"
"4657",1.7,"AGSL","VS2","H"," ",61.7," ",FALSE,"7.61x7.69x4.72","Excellent","Australia","Round","Excellent",59,"4","$ 18,085","$ 26,205"
"4658",1.68,"GemEx","VS2","H"," ",62.9," ",FALSE,"7.56x7.59x4.77","Excellent","Russia","Asscher","Excellent",NA,"2","$ 12,930","$ 26,215"
"4660",1.22,"NA","IF","F"," ",62.3,"None",FALSE,"6.79x6.85x4.25","Excellent","Botswana","Round","Excellent",58,"4","$ 14,045","$ 24,070"
"4661",2.01,"AGSL","SI1","J"," ",62.5,"Strong Bl..",FALSE,"8x8.01x5.01","Excellent","DR Congo","Round","Excellent",NA,"3","$ 17,035","$ 23,325"
"4662",2.05,"AGSL","I1","E"," ",63.5,"Medium Bl..",FALSE,"8.04x8.09x5.12","Excellent","Zimbabwe","Pear","Good",58,"2","$ 17,040","$ 25,580"
"4663",1.5,"AGSL","SI1","D"," ",NA,"Faint",FALSE,"7.23x7.28x4.57","Excellent","Australia","Round","Excellent",57,"4","$ 19,095","$ 26,250"
"4664",1.51,"GemEx","VS1","E"," ",64.1,"Medium Bl..",FALSE,"7.21x7.24x4.63"," ","DR Congo","Round"," ",56,"3","$ 17,065","$ 24,080"
"4665",2.01,"AGSL","VVS1","K"," ",60.7,"None",TRUE,"8.17x8.13x4.94","Excellent","Angola","Round","Excellent",60,"2","$ 17,105","$ 2,795"
"4666",2.27,"AGSL","VS1","K"," ",60," ",FALSE,"8.53x8.6x5.14","Very good","Russia","Oval","Very good",60,"3","$ 17,130","$ 26,375"
"4667",2.5,"AGSL","SI2","K"," ",60.6,"None",FALSE,"8.77x8.82x5.33"," ","Russia","Pear"," ",NA,"3","$ 17,145","$ 26,400"
"4669",1.51,"AGSL","SI1","D"," ",62.6,"Faint",FALSE,"7.28*7.34x4.58","Excellent","Australia","Pear","Excellent",58,"3","$ 17,160","$ 26,430"
"4670",1.27,"AGSL","VS2","D"," ",61.7,"None",FALSE,"6.97x7x4.31","Excellent","Russia","Round","Excellent",55,"3","$ 17,195","$ 29,130"
"4671",1.59,"AGSL","VS2","H"," ",62.7,"None",FALSE,"7.45x7.48x4.68","Excellent","Russia","Princess","Excellent",NA,"4","$ 19,265","$ 26,475"
"4672",1.06,"AGSL","VVS2","D"," ",62,"None",FALSE,"6.52x6.54x4.05","Excellent","Australia","Oval","Excellent",56,"3","$ 17,210","$ 29,150"
"4673",1.7,"AGSL","VS2","H"," ",62.5,"None",FALSE,"7.63*7.59x4.76","Excellent","Angola","Round","Excellent",NA,"3","$ 17,225","$ 26,530"
"4674",1.51,"AGSL","VVS2","G"," ",NA,"Faint",FALSE,"7.35x7.32x4.58","Excellent","Russia","Round","Excellent",57,"3","$ 17,230","$ 26,530"
"4675",2.01,"GemEx","SI1","J"," ",59.4,NA,FALSE,"8.19x8.23x4.87"," ","Russia","Asscher"," ",61,"3","$ 17,290","$ 19,980"
"4676",1.2,"AGSL","VS1","D"," ",59.8,"None",FALSE,"6.89x6.91x4.13","Excellent","Australia","Oval","Excellent",60,"4","$ 17,700","$ 29,370"
"4679",2.01,"GemEx","VVS2","J"," ",NA,"None",FALSE,"8.05x8.02x5.01","Very good","Russia","Princess","Excellent",NA,"3","$ 17,400","$ 26,790"
"4680",2.01,"AGSL","SI2","I"," ",62.5,NA,FALSE,"8.07x8.02x5.03","Excellent","Russia","Princess","Excellent",56,"4","$ 19,255","$ 18,015"
"4681",2.01,"GemEx","SI2","I"," ",NA,NA,FALSE,"7.98x8.05x5"," ","Russia","Asscher"," ",NA,"4","$ 19,950","$ 23,910"
"4682",1.02,"AGSL","VVS1","D"," ",62.3,"Medium Bl..",TRUE,"6.4x6.47x4.01","Very good","DR Congo","Emerald","Very good",56,"2","$ 17,555","$ 1,310"
"4684",1.5,"AGSL","VVS2","G"," ",62.6,"Faint",FALSE,"7.29x7.25x4.55","Excellent","Russia","Round","Excellent",56,"4","$ 18,840","$ 27,085"
"4686",2.18,"AGSL","VS1","K"," ",59.8,NA,FALSE,"8.44x8.41x5.04","Excellent","Botswana","Marquise","Excellent",NA,"2","$ 17,625","$ 26,555"
"4688",1.7,"NA","SI1","H"," ",63.1,NA,FALSE,"7.59x7.62x4.8","Excellent","Russia","Radiant","Excellent",56,"2","$ 16,905","$ 19,245"
"4689",1.7,"GemEx","SI1","F"," ",62.8,"None",FALSE,"7.61x7.56x4.77","Excellent","Australia","Oval","Very good",NA,"2","$ 17,665","$ 27,200"
"4690",1.6,"AGSL","VS2","E"," ",62.6,"Strong Bl..",FALSE,"7.44x7.49x4.68"," ","Russia","Round"," ",57,"3","$ 17,695","$ 27,250"
"4691",1.8,"AGSL","SI1","H"," ",62.6,"None",FALSE,"7.78x7.75x4.87","Excellent","South Africa","Oval ","Excellent",57,"2","$ 13,245","$ 26,710"
"4693",1.71,"AGSL","VVS2","I"," ",NA,"None",FALSE,"7.61x7.67x4.79","Excellent","Botswana","Round","Excellent",56,"2","$ 17,770","$ 23,270"
"4694",1.5,"AGSL","VS1","D"," ",NA,"Medium Bl..",FALSE,"7.2x7.22x4.6"," ","Australia","Oval"," ",NA,"4","$ 20,485","$ 27,390"
"4695",1.55,"AGSL","SI1","D"," ",61.2,"None",FALSE,"7.45x7.43x4.55","Excellent","Botswana","Round","Excellent",59,"3","$ 17,830","$ 25,820"
"4697",1.7,"AGSL","VS2","H"," ",61.1," ",FALSE,"7.6x7.65+4.66","Excellent","Zimbabwe","Pear","Excellent",60,"2","$ 12,755","$ 22,090"
"4698",2.13,"AGSL","SI1","J"," ",59.3,"Faint",TRUE,"8.42x8.39x4.99","Excellent","DR Congo","Princess","Excellent",NA,"4","$ 21,010","$ 2,490"
"4699",2.01,"AGSL","SI2","I"," ",NA,"None",FALSE,"8.03x8.06x5"," ","Russia","Emerald"," ",58,"4","$ 19,675","$ 27,550"
"4700",2.3,"AGSL","SI2","J"," ",62.2,"None",FALSE,"8.42x8.44x5.24"," ","Russia","Round"," ",NA,"4","$ 19,865","$ 27,600"
"4701",2.16,"AGSL","VS1","K"," ",60.1,"None",FALSE,"8.41x8.44x5.07"," ","Canada","Round"," ",NA,"2","$ 17,930","$ 27,610"
"4702",1.64,"AGSL","VS2","G"," ",62.7,"None",FALSE,"7.49x7.53x4.71","Excellent","Angola","Round","Excellent",58,"2","$ 17,945","$ 27,630"
"4703",1.6,"AGSL","VS2","G"," ",62.4," ",FALSE,"7.45x7.49x4.66","Excellent","Russia","Marquise","Excellent",58,"2","$ 16,990","$ 27,645"
"4704",1.71,"AGSL","SI2","D"," ",62.7," ",FALSE,"7.52x7.59x4.74","Excellent","Botswana","Marquise","Very good",57,"2","$ 16,525","$ 26,840"
"4705",1.5,"AGSL","VVS1","G"," ",63.3,NA,FALSE,"7.27x7.2x4.58","Excellent","Russia","Round","Very good",56,"3","$ 18,020","$ 27,375"
"4706",1.73,"AGSL","SI1","H","Excellent",61.6,"None",FALSE,"7.67x7.72x4.74","Excellent","Australia","Radiant","Very good",NA,"2","$ 18,025","$ 27,875"
"4707",2.01,"AGSL","SI2","H"," ",58.7,"None",FALSE,"8.33x8.25x4.87","Excellent","Russia","Emerald","Very good",61,"4","$ 19,405","$ 27,860"
"4708",1.5,"AGSL","SI1","D"," ",61.7," ",TRUE,"7.32x7.37x4.53","Excellent","Angola","Oval","Excellent",60,"3","$ 16,700","$ 3,545"
"4709",1.24,"AGSL","VVS2","D"," ",NA,"None",FALSE,"6.96x6.94x4.21","Excellent","Botswana","Round","Excellent",NA,"2","$ 18,115","$ 28,370"
"4711",1.52,"AGSL","SI1","F"," ",62.3,NA,FALSE,"7.33x7.36x4.57","Excellent","South Africa","Princess","Excellent",58,"4","$ 19,560","$ 22,110"
"4712",2.5,"AGSL","SI2","K"," ",61.3,"None",FALSE,"8.68x8.72x5.34"," ","Russia","Cushion"," ",58,"4","$ 18,440","$ 28,050"
"4713",1.51,"AGSL","SI1","D"," ",61.9," ",FALSE,"7.32x7.34x4.54","Excellent","Russia","Oval","Excellent",57,"2","$ 16,060","$ 28,050"
"4714",2.16,"NA","SI2","J"," ",61.2,NA,TRUE,"8.25x8.3x5.07","Excellent","DR Congo","Oval","Excellent",60,"2","$ 16,700","$ 1,780"
"4715",1.72,"NA","VS2","H"," ",62,"None",FALSE,"7.63x7.69*4.75","Excellent","Other/Unknown","Radiant","Excellent",58,"3","$ 16,120","$ 27,120"
"4716",2.01,"AGSL","SI1","I"," ",62.5,"Faint",FALSE,"8.02x8.05x5.02","Excellent","Zimbabwe","Emerald","Excellent",NA,"2","$ 18,275","$ 27,245"
"4717",2.01,"AGSL","SI1","I"," ",62.6,"None",FALSE,"8.02x8.07x5.03","Excellent","Canada","Asscher","Excellent",NA,"3","$ 18,275","$ 28,140"
"4718",1.7,"AGSL","SI1","F"," ",62.3,"None",FALSE,"7.65x7.61x4.76","Excellent","Botswana","Round","Excellent",57,"3","$ 18,325","$ 27,685"
"4719",1.51,"AGSL","SI1","D"," ",59.4,"Faint",FALSE,"7.46x7.51x4.45","Very good","Canada","Emerald","Very good",NA,"2","$ 18,340","$ 28,240"
"4720",2.02,"AGSL","SI1","I"," ",NA,"None",FALSE,"8.08x8.12x4.98","Excellent","South Africa","Emerald","Excellent",60,"2","$ 18,365","$ 21,590"
"4721",1.51,"AGSL","VS2","G"," ",59.9,"None",FALSE,"7.49x7.54x4.5","Excellent","Russia","Round","Excellent",NA,"3","$ 18,430","$ 28,380"
"4723",1.41,"AGSL","VS2","D"," ",62.1,"None",FALSE,"7.13x7.19x4.45","Very good","South Africa","Marquise","Very good",NA,"3","$ 18,450","$ 29,115"
"4724",1.4,"GemEx","VS2","D"," ",62.4,"None",FALSE,"7.13x7.16x4.46"," ","Russia","Round"," ",NA,"2","$ 18,485","$ 31,310"
"4725",1.78,"AGSL","VVS2","I"," ",61.8,"Medium Bl..",FALSE,"7.75x7.82x4.81","Excellent","Angola","Round","Excellent",58,"2","$ 18,495","$ 28,480"
"4726",1.51,"AGSL","VS2","F"," ",62.1,"None",FALSE,"7.29x7.33x4.54"," ","Russia","Round"," ",58,"4","$ 18,905","$ 28,510"
"4727",1.5,"AGSL","VVS1","G"," ",61.9,"Faint",FALSE,"7.35x7.27x4.52","Excellent","Other/Unknown","Round","Very good",59,"2","$ 18,545","$ 28,560"
"4728",2.12,"AGSL","SI2","J"," ",61.8,"None",FALSE,"8.24+8.29x5.11","Excellent","Russia","Emerald","Excellent",54,"3","$ 18,585","$ 28,620"
"4729",2.01,"AGSL","SI2","I"," ",62.4,"Faint",TRUE,"8.03x8.05x5.02"," ","DR Congo","Round"," ",57,"2","$ 18,590","$ 2,465"
"4730",1.51,"AGSL","SI1","G"," ",62.5,"None",FALSE,"7.3x7.34+4.57"," ","Russia","Emerald"," ",NA,"2","$ 18,630","$ 28,690"
"4732",2.05,"AGSL","VS2","J","Excellent",59.7,"None",FALSE,"8.27x8.28x4.94","Excellent","Australia","Round","Excellent",NA,"2","$ 18,675","$ 33,595"
"4734",1.03,"AGSL","VVS1","D"," ",62.6,"Faint",FALSE,"6.43-6.5x4.05","Excellent","Angola","Round","Excellent",57,"2","$ 18,730","$ 31,725"
"4735",1.51,"AGSL","VS1","F"," ",62.2,"Faint",FALSE,"7.35*7.32x4.56","Excellent","Angola","Radiant","Excellent",57,"2","$ 18,755","$ 28,880"
"4736",1.73,"AGSL","SI1","G"," ",62.4," ",FALSE,"7.66x7.69x4.79","Excellent","Russia","Oval ","Excellent",NA,"3","$ 14,650","$ 28,925"
"4738",2.54,"AGSL","SI1","K"," ",NA,"None",FALSE,"8.71x8.76*5.41","Excellent","Botswana","Round","Excellent",59,"4","$ 20,745","$ 28,860"
"4741",2.25,"AGSL","SI1","J"," ",62.7,"None",FALSE,"8.31x8.38x5.23"," ","Botswana","Radiant"," ",57,"2","$ 18,850","$ 26,595"
"4742",1.88,"AGSL","SI1","H","Good",57.1,"None",FALSE,"8.11x8.2x4.66","Very good","Botswana","Round","Good",61,"3","$ 18,875","$ 28,550"
"4743",1.7,"AGSL","SI1","G"," ",61.9,"None",FALSE,"7.62x7.69x4.74","Excellent","DR Congo","Marquise","Excellent",60,"2","$ 18,880","$ 25,565"
"4744",2.24,"AGSL","VS2","J"," ",60.4,"Medium Bl..",FALSE,"8.5x8.44x5.12","Excellent","Canada","Round","Excellent",59,"3","$ 18,900","$ 29,110"
"4745",2.08,"GemEx","IF","K"," ",62.6,"Faint",FALSE,"8.13x8.17x5.1","Excellent","Other/Unknown","Round","Excellent",57,"4","$ 21,505","$ 29,120"
"4746",2.51,"AGSL","SI2","K"," ",NA," ",FALSE,"8.68x8.76x5.42","Excellent","Botswana","Princess","Excellent",57,"2","$ 15,290","$ 29,110"
"4747",2.53,"AGSL","VS1","L"," ",60.6,"Medium Bl..",FALSE,"8.79x8.83*5.34"," ","Canada","Round"," ",NA,"4","$ 21,340","$ 29,150"
"4748",1.7,"AGSL","SI1","G","Excellent",NA,"Strong Bl..",FALSE,"7.68x7.72x4.62","Very good","Russia","Marquise","Excellent",61,"2","$ 18,950","$ 29,195"
"4751",1.5,"AGSL","VS1","E"," ",64.7,NA,FALSE,"7.23x7.11x4.64","Excellent","South Africa","Oval","Very good",57,"2","$ 18,995","$ 25,165"
"4752",2.01,"AGSL","SI1","I"," ",62.9," ",FALSE,"7.97x8.03x5.03","Excellent","DR Congo","Oval","Excellent",58,"4","$ 20,495","$ 27,700"
"4753",2.01,"AGSL","SI1","I"," ",62.3," ",FALSE,"8.01x8.07x5.01","Excellent","Russia","Pear","Excellent",57,"4","$ 18,745","$ 29,345"
"4754",1.61,"GemEx","VS1","G"," ",62.6,"Faint",FALSE,"7.43x7.46x4.66"," ","Botswana","Marquise"," ",NA,"2","$ 19,070","$ 27,690"
"4755",2.01,"AGSL","SI1","J"," ",62.7,NA,TRUE,"8.05x8.1x5.06"," ","Angola","Asscher"," ",55,"3","$ 19,085","$ 1,810"
"4756",1.41,"AGSL","VS1","E"," ",62.6,"Faint",FALSE,"7.13x7.16x4.47","Excellent","South Africa","Round","Excellent",57,"3","$ 19,090","$ 30,265"
"4758",2.01,"AGSL","SI2","H"," ",60.4," ",FALSE,"8.17x8.18x4.94","Excellent","DR Congo","Asscher","Excellent",59,"3","$ 17,435","$ 29,450"
"4759",1.5,"AGSL","VS1","F"," ",61.8,"Faint",FALSE,"7.35+7.32x4.53","Excellent","Canada","Princess","Excellent",59,"4","$ 21,810","$ 29,480"
"4761",2.09,"AGSL","SI1","H"," ",62,"Very Smal..",FALSE,"8.24x8.18x5.09","Excellent","Russia","Round","Excellent",NA,"3","$ 19,185","$ 29,545"
"4764",1.81,"NA","VS2","H"," ",NA," ",FALSE,"7.77x7.81x4.8","Excellent","Botswana","Round","Very good",55,"3","$ 14,625","$ 23,440"
"4765",2.03,"AGSL","SI2","H"," ",60.4,"None",FALSE,"8.22x8.2x4.96","Excellent","Russia","Round","Excellent",59,"2","$ 19,315","$ 29,745"
"4766",1.53,"AGSL","SI1","F"," ",61.3,"None",FALSE,"7.41x7.43x4.55","Excellent","Russia","Cushion","Excellent",56,"2","$ 19,325","$ 29,760"
"4767",1.5,"AGSL","VVS1","G"," ",62.8,"Faint",FALSE,"7.33x7.28x4.59","Excellent","Russia","Round","Excellent",56,"2","$ 19,340","$ 29,785"
"4768",2.01,"AGSL","SI2","H"," ",NA,NA,FALSE,"8x8.05x5.02","Excellent","Russia","Radiant","Excellent",57,"4","$ 21,045","$ 29,175"
"4769",2.01,"AGSL","SI2","H"," ",NA,"None",FALSE,"8.13x8.1x5.02","Excellent","Russia","Emerald","Excellent",NA,"2","$ 19,385","$ 29,850"
"4771",2.02,"AGSL","SI1","H"," ",64.2,"Medium Bl..",FALSE,"7.94x8.01x5.12"," ","Botswana","Oval"," ",55,"2","$ 19,440","$ 29,840"
"4772",1.7,"AGSL","VS1","H"," ",62.2," ",FALSE,"7.62x7.66x4.75","Excellent","Russia","Round","Excellent",56,"2","$ 18,990","$ 29,985"
"4773",2.02,"AGSL","SI2","H"," ",62.5,"None",FALSE,"8.09x8.05x5.05","Excellent","Botswana","Round","Excellent",57,"2","$ 19,480","$ 29,670"
"4775",2.01,"AGSL","SI2","G"," ",NA,"Faint",FALSE,"8.06x8.01x5.03","Excellent","Russia","Round","Excellent",57,"3","$ 19,550","$ 30,105"
"4776",1.7,"GemEx","VS2","G"," ",62.4," ",FALSE,"7.61x7.63-4.76","Excellent","Australia","Round","Excellent",58,"4","$ 22,515","$ 30,110"
"4778",2.51,"NA","SI1","K"," ",62.3,"None",FALSE,"8.72x8.68x5.42","Excellent","Russia","Round","Excellent",NA,"2","$ 16,050","$ 22,425"
"4779",1.73,"AGSL","SI1","G","Excellent",61.9,"Strong Bl..",FALSE,"7.65x7.67x4.74","Excellent","Australia","Round","Excellent",57,"4","$ 21,460","$ 30,650"
"4781",2,"AGSL","SI1","I"," ",58.9,"None",FALSE,"8.1x8.14x4.79","Good","Australia","Asscher","Good",NA,"4","$ 21,575","$ 30,300"
"4784",2.5,"AGSL","SI1","K"," ",61.8,"Medium Bl..",FALSE,"8.66*8.73x5.38"," ","Russia","Round"," ",55,"2","$ 19,740","$ 30,400"
"4786",1.71,"AGSL","VS1","H","Good",60.5,"None",FALSE,"7.75x7.83X4.72","Good","Other/Unknown","Cushion","Good",NA,"4","$ 20,495","$ 30,300"
"4787",1.53,"AGSL","VS2","E"," ",62.3,"None",FALSE,"7.39x7.35x4.59","Excellent","Russia","Round","Excellent",NA,"4","$ 22,360","$ 30,470"
"4788",1.51,"NA","VS1","F"," ",61.3,"Faint",FALSE,"7.38x7.42x4.53"," ","Russia","Round"," ",57,"2","$ 18,140","$ 21,205"
"4790",2.01,"AGSL","SI1","I"," ",59.9,"None",FALSE,"8.21x8.17x4.91","Excellent","Russia","Oval","Excellent",NA,"3","$ 19,840","$ 30,555"
"4791",2.03,"AGSL","SI2","H"," ",60.1,"None",FALSE,"8.24x8.2x4.94","Excellent","Botswana","Round","Excellent",59,"2","$ 19,840","$ 29,280"
"4792",2.01,"AGSL","SI2","H"," ",62.6,"None",FALSE,"7.99x8.05x5.03"," ","Australia","Asscher"," ",NA,"3","$ 19,900","$ 30,645"
"4793",1.7,"AGSL","VS1","H"," ",60.9,"None",TRUE,"7.66x7.7x4.68"," ","DR Congo","Round"," ",NA,"2","$ 19,905","$ 3,560"
"4794",2.5,"AGSL","SI2","J"," ",64.5,"None",FALSE,"8.42x8.51x5.46"," ","Australia","Oval"," ",57,"2","$ 19,970","$ 30,750"
"4795",1.59,"AGSL","VS1","F"," ",62.6,"Faint",FALSE,"7.46x7.42x4.66","Excellent","Russia","Round","Excellent",57,"3","$ 20,020","$ 30,830"
"4797",2.17,"AGSL","SI2","I"," ",60.2," ",FALSE,"8.34x8.39x5.04","Excellent","DR Congo","Round","Excellent",NA,"2","$ 17,760","$ 27,025"
"4798",2.06,"AGSL","SI2","H"," ",61.4," ",FALSE,"8.18x8.24x5.04","Very good","DR Congo","Pear","Excellent",NA,"2","$ 18,315","$ 29,645"
"4800",1.57,"GemEx","VVS2","G"," ",61.7,"Faint",FALSE,"7.45x7.5x4.61","Excellent","South Africa","Round","Excellent",58,"2","$ 20,190","$ 30,785"
"4802",2.02,"AGSL","SI1","I"," ",63.4,"None",FALSE,"8.01x8.04x5.08"," ","Canada","Pear"," ",NA,"3","$ 20,200","$ 31,110"
"4803",2.5,"AGSL","VS1","K"," ",62.7,"Strong Bl..",FALSE,"8.61x8.65x5.41"," ","Angola","Pear"," ",55,"2","$ 20,215","$ 31,130"
"4805",1.72,"AGSL","SI1","F","Excellent",NA,"Medium Bl..",FALSE,"7.73x7.76x4.7","Excellent","Australia","Round","Excellent",NA,"2","$ 20,250","$ 29,295"
"4806",2.02,"AGSL","SI2","H"," ",62.6," ",FALSE,"8.04x8.05x5.04","Excellent","South Africa","Round","Excellent",NA,"3","$ 20,035","$ 30,600"
"4807",2.02,"AGSL","SI2","H"," ",61.4,NA,FALSE,"8.12x8.17+5"," ","Australia","Oval"," ",58,"4","$ 20,765","$ 31,105"
"4808",1.81,"AGSL","VS2","H"," ",NA," ",FALSE,"7.74x7.77x4.86","Excellent","DR Congo","Round","Excellent",57,"3","$ 20,305","$ 30,975"
